Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
n-octane;2methylpyridine;CCCCCCCC;Cc1ccccn1;-4.73
toluene;2methylpyridine;CC1=CC=CC=C1;Cc1ccccn1;-5.06
ethanol;2methylpyridine;CCO;Cc1ccccn1;-5.01
"1;4-dioxane";2methylpyridine;C1COCCO1;Cc1ccccn1;-5.01
2-butanone;2methylpyridine;CCC(=O)C;Cc1ccccn1;-4.52
2-methylpyridine;2methylpyridine;CC1=CC=CC=N1;Cc1ccccn1;-5.71
naphthalene;4methyl2pentanone;C1=CC=C2C=CC=CC2=C1;CC(C)CC(C)=O;-7.45
phenol;4methyl2pentanone;C1=CC=C(C=C1)O;CC(C)CC(C)=O;-9.38
m-cresol;4methyl2pentanone;CC1=CC(=CC=C1)O;CC(C)CC(C)=O;-8.79
aceticacid;4methyl2pentanone;CC(O)=O;CC(C)CC(C)=O;-6.33
propanoicacid;4methyl2pentanone;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CC(C)CC(C)=O;-6.85
butanoicacid;4methyl2pentanone;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CC(C)CC(C)=O;-7.44
trimethylamine;4methyl2pentanone;CN(C)C;CC(C)CC(C)=O;-2.86
diethylamine;4methyl2pentanone;CCNCC;CC(C)CC(C)=O;-3.63
pyridine;4methyl2pentanone;C1=CC=NC=C1;CC(C)CC(C)=O;-5.33
aniline;4methyl2pentanone;C1=CC=C(C=C1)N;CC(C)CC(C)=O;-7.54
ammonia;4methyl2pentanone;N;CC(C)CC(C)=O;-2.52
methylamine;4methyl2pentanone;CN;CC(C)CC(C)=O;-4.14
4-methyl-2-pentanone;4methyl2pentanone;CC(C)CC(=O)C;CC(C)CC(C)=O;-5.23
n-octane;aceticacid;CCCCCCCC;CC(O)=O;-3.93
toluene;aceticacid;CC1=CC=CC=C1;CC(O)=O;-4.53
ethanol;aceticacid;CCO;CC(O)=O;-5.25
"1;4-dioxane";aceticacid;C1COCCO1;CC(O)=O;-5.8
2-butanone;aceticacid;CCC(=O)C;CC(O)=O;-4.8
aceticacid;aceticacid;CC(O)=O;CC(O)=O;-5.3
nitromethane;aceticacid;C[N+](=O)[O-];CC(O)=O;-4.88
n-octane;acetonitrile;CCCCCCCC;CC#N;-3.57
toluene;acetonitrile;CC1=CC=CC=C1;CC#N;-4.68
ethanol;acetonitrile;CCO;CC#N;-4.43
"1;4-dioxane";acetonitrile;C1COCCO1;CC#N;-5.33
2-butanone;acetonitrile;CCC(=O)C;CC#N;-4.73
acetonitrile;acetonitrile;CC#N;CC#N;-4.85
nitromethane;acetonitrile;C[N+](=O)[O-];CC#N;-5.62
n-octane;acetophenone;CCCCCCCC;CC(=O)C1=CC=CC=C1;-4.24
toluene;acetophenone;CC1=CC=CC=C1;CC(=O)C1=CC=CC=C1;-4.9
ethanol;acetophenone;CCO;CC(=O)C1=CC=CC=C1;-4.12
"1;4-dioxane";acetophenone;C1COCCO1;CC(=O)C1=CC=CC=C1;-5.03
2-butanone;acetophenone;CCC(=O)C;CC(=O)C1=CC=CC=C1;-4.39
acetophenone;acetophenone;CC(=O)C1=CC=CC=C1;CC(=O)C1=CC=CC=C1;-7.59
aceticacid;acetophenone;CC(O)=O;CC(=O)C1=CC=CC=C1;-6.2
nitromethane;acetophenone;C[N+](=O)[O-];CC(=O)C1=CC=CC=C1;-4.92
hydrogenperoxide;acetophenone;OO;CC(=O)C1=CC=CC=C1;-7.3
n-octane;aniline;CCCCCCCC;C1=CC=C(C=C1)N;-3.48
toluene;aniline;CC1=CC=CC=C1;C1=CC=C(C=C1)N;-4.57
ethanol;aniline;CCO;C1=CC=C(C=C1)N;-4.45
"1;4-dioxane";aniline;C1COCCO1;C1=CC=C(C=C1)N;-5.65
2-butanone;aniline;CCC(=O)C;C1=CC=C(C=C1)N;-4.87
aceticacid;aniline;CC(O)=O;C1=CC=C(C=C1)N;-6.3
propanoicacid;aniline;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;C1=CC=C(C=C1)N;-6.2
aniline;aniline;C1=CC=C(C=C1)N;C1=CC=C(C=C1)N;-7.61
nitromethane;aniline;C[N+](=O)[O-];C1=CC=C(C=C1)N;-5.11
hydrogenperoxide;aniline;OO;C1=CC=C(C=C1)N;-7.8
n-octane;anisole;CCCCCCCC;COC1=CC=CC=C1;-4.62
toluene;anisole;CC1=CC=CC=C1;COC1=CC=CC=C1;-4.95
ethanol;anisole;CCO;COC1=CC=CC=C1;-3.59
"1;4-dioxane";anisole;C1COCCO1;COC1=CC=CC=C1;-5.06
anisole;anisole;COC1=CC=CC=C1;COC1=CC=CC=C1;-6.33
2-butanone;anisole;CCC(=O)C;COC1=CC=CC=C1;-4.43
butylamine;anisole;CCCCN;COC1=CC=CC=C1;-4.44
nitromethane;anisole;C[N+](=O)[O-];COC1=CC=CC=C1;-4.69
n-pentane;benzene;CCCCC;C1=CC=CC=C1;-2.99
n-hexane;benzene;CCCCCC;C1=CC=CC=C1;-3.62
n-octane;benzene;CCCCCCCC;C1=CC=CC=C1;-5.35
cyclohexane;benzene;C1CCCCC1;C1=CC=CC=C1;-4.05
benzene;benzene;C1=CC=CC=C1;C1=CC=CC=C1;-4.55
toluene;benzene;CC1=CC=CC=C1;C1=CC=CC=C1;-5.32
methanol;benzene;CO;C1=CC=CC=C1;-2.58
ethanol;benzene;CCO;C1=CC=CC=C1;-3.42
1-propanol;benzene;CCCO;C1=CC=CC=C1;-3.87
isopropanol;benzene;CC(C)O;C1=CC=CC=C1;-3.48
1-butanol;benzene;CCCCO;C1=CC=CC=C1;-4.45
t-butanol;benzene;CC(C)(C)O;C1=CC=CC=C1;-3.7
1-pentanol;benzene;CCCCCO;C1=CC=CC=C1;-5.1
phenol;benzene;C1=CC=C(C=C1)O;C1=CC=CC=C1;-7.12
1-hexanol;benzene;CCCCCCO;C1=CC=CC=C1;-6.13
o-cresol;benzene;CC1=CC=CC=C1O;C1=CC=CC=C1;-7.44
m-cresol;benzene;CC1=CC(=CC=C1)O;C1=CC=CC=C1;-6.66
p-cresol;benzene;CC1=CC=C(C=C1)O;C1=CC=CC=C1;-7.35
1-heptanol;benzene;CCCCCCCO;C1=CC=CC=C1;-6.85
"1;4-dioxane";benzene;C1COCCO1;C1=CC=CC=C1;-5.21
acetone;benzene;CC(=O)C;C1=CC=CC=C1;-3.79
2-butanone;benzene;CCC(=O)C;C1=CC=CC=C1;-4.46
2-pentanone;benzene;CCCC(=O)C;C1=CC=CC=C1;-5.14
2-hexanone;benzene;CCCCC(=O)C;C1=CC=CC=C1;-5.76
2-heptanone;benzene;CCCCCC(=O)C;C1=CC=CC=C1;-6.36
aceticacid;benzene;CC(O)=O;C1=CC=CC=C1;-4.02
propanoicacid;benzene;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;C1=CC=CC=C1;-4.75
butanoicacid;benzene;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;C1=CC=CC=C1;-5.3
pentanoicacid;benzene;CCCCC(O)=O;C1=CC=CC=C1;-6.01
hexanoicacid;benzene;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;C1=CC=CC=C1;-6.94
methylacetate;benzene;COC(C)=O;C1=CC=CC=C1;-4.04
methylpropanoate;benzene;CCC(=O)OC;C1=CC=CC=C1;-4.58
ethylacetate;benzene;CCOC(=O)C;C1=CC=CC=C1;-4.53
propylacetate;benzene;CCCOC(C)=O;C1=CC=CC=C1;-5.21
methylpentanoate;benzene;CCCCC(=O)OC;C1=CC=CC=C1;-5.83
butylacetate;benzene;CCCCOC(C)=O;C1=CC=CC=C1;-5.78
methylhexanoate;benzene;CCCCCC(=O)OC;C1=CC=CC=C1;-6.47
pentylacetate;benzene;CCCCCOC(C)=O;C1=CC=CC=C1;-6.53
ethylamine;benzene;CCN;C1=CC=CC=C1;-2.73
dimethylamine;benzene;CNC;C1=CC=CC=C1;-3.01
propylamine;benzene;CCCN;C1=CC=CC=C1;-3.68
trimethylamine;benzene;CN(C)C;C1=CC=CC=C1;-2.8
diethylamine;benzene;CCNCC;C1=CC=CC=C1;-4.02
dipropylamine;benzene;CCCNCCC;C1=CC=CC=C1;-5.09
pyridine;benzene;C1=CC=NC=C1;C1=CC=CC=C1;-5.28
aniline;benzene;C1=CC=C(C=C1)N;C1=CC=CC=C1;-6.88
2-methylpyridine;benzene;CC1=CC=CC=N1;C1=CC=CC=C1;-5.86
4-methylpyridine;benzene;CC1=CC=NC=C1;C1=CC=CC=C1;-6.17
N-methylaniline;benzene;CNC1=CC=CC=C1;C1=CC=CC=C1;-6.64
"2;6-dimethylpyridine";benzene;CC1=NC(=CC=C1)C;C1=CC=CC=C1;-6.39
nitrobenzene;benzene;C1=CC=C(C=C1)[N+](=O)[O-];C1=CC=CC=C1;-7.6
m-hydroxybenzaldehyde;benzene;C1=CC(=CC(=C1)O)C=O;C1=CC=CC=C1;-9.29
p-hydroxybenzaldehyde;benzene;C1=CC(=CC=C1C=O)O;C1=CC=CC=C1;-9.73
p-bromophenol;benzene;C1=CC(=CC=C1O)Br;C1=CC=CC=C1;-8.81
ammonia;benzene;N;C1=CC=CC=C1;-1.12
water;benzene;O;C1=CC=CC=C1;-1.71
trimethylphosphate;benzene;COP(=O)(OC)OC;C1=CC=CC=C1;-8.02
triethylphosphate;benzene;CCOP(=O)(OCC)OCC;C1=CC=CC=C1;-8.58
tripropylphosphate;benzene;CCCO[P](=O)(OCCC)OCCC;C1=CC=CC=C1;-9.34
piperidine;benzene;C1CCNCC1;C1=CC=CC=C1;-5.03
methylamine;benzene;CN;C1=CC=CC=C1;-2.66
hydrazine;benzene;NN;C1=CC=CC=C1;-4.02
1-octanol;benzene;CCCCCCCCO;C1=CC=CC=C1;-8.06
methylbenzoate;benzene;COC(=O)C1=CC=CC=C1;C1=CC=CC=C1;-6.27
"1;1-dimethyl-3-phenylurea";benzene;CN(C)C(=O)NC1=CC=CC=C1;C1=CC=CC=C1;-12.18
dimethyl4-nitrophenylthiophosphate;benzene;C[S](C)(c1ccc(cc1)[N+]([O-])=O)=[P]([O-])([O-])[O-];C1=CC=CC=C1;-9.21
diethyl4-nitrophenylthiophosphonate;benzene;CC[S](CC)=[P]([O-])([O-])c1ccc(cc1)[N+]([O-])=O;C1=CC=CC=C1;-8.58
nitromethane;benzene;C[N+](=O)[O-];C1=CC=CC=C1;-4.5
"3;5-dimethylpyridine";benzene;CC1=CC(=CN=C1)C;C1=CC=CC=C1;-7.64
benzamide;benzene;C1=CC=C(C=C1)C(=O)N;C1=CC=CC=C1;-9.93
2-methylaniline;benzene;CC1=CC=CC=C1N;C1=CC=CC=C1;-7.37
3-methylaniline;benzene;CC1=CC(=CC=C1)N;C1=CC=CC=C1;-7.61
4-methylaniline;benzene;CC1=CC=C(C=C1)N;C1=CC=CC=C1;-7.59
hydrogenperoxide;benzene;OO;C1=CC=CC=C1;-4.77
n-octane;benzonitrile;CCCCCCCC;C1=CC=C(C=C1)C#N;-4.34
toluene;benzonitrile;CC1=CC=CC=C1;C1=CC=C(C=C1)C#N;-4.95
ethanol;benzonitrile;CCO;C1=CC=C(C=C1)C#N;-4.05
"1;4-dioxane";benzonitrile;C1COCCO1;C1=CC=C(C=C1)C#N;-5.14
2-butanone;benzonitrile;CCC(=O)C;C1=CC=C(C=C1)C#N;-4.58
benzonitrile;benzonitrile;C1=CC=C(C=C1)C#N;C1=CC=C(C=C1)C#N;-7.28
nitromethane;benzonitrile;C[N+](=O)[O-];C1=CC=C(C=C1)C#N;-5.05
n-octane;benzylalcohol;CCCCCCCC;C1=CC=C(C=C1)CO;-3.77
toluene;benzylalcohol;CC1=CC=CC=C1;C1=CC=C(C=C1)CO;-4.46
ethanol;benzylalcohol;CCO;C1=CC=C(C=C1)CO;-4.84
"1;4-dioxane";benzylalcohol;C1COCCO1;C1=CC=C(C=C1)CO;-5.39
formaldehyde;benzylalcohol;C=O;C1=CC=C(C=C1)CO;-3.48
2-butanone;benzylalcohol;CCC(=O)C;C1=CC=C(C=C1)CO;-4.57
aceticacid;benzylalcohol;CC(O)=O;C1=CC=C(C=C1)CO;-6.96
butylamine;benzylalcohol;CCCCN;C1=CC=C(C=C1)CO;-5.15
nitromethane;benzylalcohol;C[N+](=O)[O-];C1=CC=C(C=C1)CO;-4.53
benzylalcohol;benzylalcohol;C1=CC=C(C=C1)CO;C1=CC=C(C=C1)CO;-8.61
n-octane;bromobenzene;CCCCCCCC;C1=CC=C(C=C1)Br;-5.02
toluene;bromobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)Br;-5.13
methanol;bromobenzene;CO;C1=CC=C(C=C1)Br;-2.31
ethanol;bromobenzene;CCO;C1=CC=C(C=C1)Br;-3.26
1-propanol;bromobenzene;CCCO;C1=CC=C(C=C1)Br;-3.74
1-butanol;bromobenzene;CCCCO;C1=CC=C(C=C1)Br;-4.08
1-pentanol;bromobenzene;CCCCCO;C1=CC=C(C=C1)Br;-5.06
phenol;bromobenzene;C1=CC=C(C=C1)O;C1=CC=C(C=C1)Br;-6.87
1-hexanol;bromobenzene;CCCCCCO;C1=CC=C(C=C1)Br;-5.92
o-cresol;bromobenzene;CC1=CC=CC=C1O;C1=CC=C(C=C1)Br;-7.26
p-cresol;bromobenzene;CC1=CC=C(C=C1)O;C1=CC=C(C=C1)Br;-7.12
1-heptanol;bromobenzene;CCCCCCCO;C1=CC=C(C=C1)Br;-6.68
"1;4-dioxane";bromobenzene;C1COCCO1;C1=CC=C(C=C1)Br;-5.02
2-butanone;bromobenzene;CCC(=O)C;C1=CC=C(C=C1)Br;-4.37
methylacetate;bromobenzene;COC(C)=O;C1=CC=C(C=C1)Br;-3.87
ethylacetate;bromobenzene;CCOC(=O)C;C1=CC=C(C=C1)Br;-4.57
propylacetate;bromobenzene;CCCOC(C)=O;C1=CC=C(C=C1)Br;-4.93
butylacetate;bromobenzene;CCCCOC(C)=O;C1=CC=C(C=C1)Br;-5.58
pentylacetate;bromobenzene;CCCCCOC(C)=O;C1=CC=C(C=C1)Br;-6.35
ethylamine;bromobenzene;CCN;C1=CC=C(C=C1)Br;-2.73
propylamine;bromobenzene;CCCN;C1=CC=C(C=C1)Br;-3.57
butylamine;bromobenzene;CCCCN;C1=CC=C(C=C1)Br;-4.22
aniline;bromobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)Br;-6.66
bromobenzene;bromobenzene;C1=CC=C(C=C1)Br;C1=CC=C(C=C1)Br;-6.25
p-bromophenol;bromobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)Br;-8.49
nitromethane;bromobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)Br;-4.25
4-methylaniline;bromobenzene;CC1=CC=C(C=C1)N;C1=CC=C(C=C1)Br;-7.59
n-octane;bromoethane;CCCCCCCC;CCBr;-5.54
toluene;bromoethane;CC1=CC=CC=C1;CCBr;-5.55
"1;4-dioxane";bromoethane;C1COCCO1;CCBr;-5.39
2-butanone;bromoethane;CCC(=O)C;CCBr;-5.13
propanoicacid;bromoethane;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CCBr;-5.52
bromoethane;bromoethane;CCBr;CCBr;-3.67
nitromethane;bromoethane;C[N+](=O)[O-];CCBr;-4.54
methanol;bromoform;CO;C(Br)(Br)Br;-2.79
ethanol;bromoform;CCO;C(Br)(Br)Br;-3.24
1-propanol;bromoform;CCCO;C(Br)(Br)Br;-4.03
1-butanol;bromoform;CCCCO;C(Br)(Br)Br;-4.72
1-pentanol;bromoform;CCCCCO;C(Br)(Br)Br;-5.34
phenol;bromoform;C1=CC=C(C=C1)O;C(Br)(Br)Br;-6.88
1-hexanol;bromoform;CCCCCCO;C(Br)(Br)Br;-6.2
o-cresol;bromoform;CC1=CC=CC=C1O;C(Br)(Br)Br;-7.45
1-heptanol;bromoform;CCCCCCCO;C(Br)(Br)Br;-7.1
aceticacid;bromoform;CC(O)=O;C(Br)(Br)Br;-4.54
bromoform;bromoform;C(Br)(Br)Br;C(Br)(Br)Br;-6.21
p-bromophenol;bromoform;C1=CC(=CC=C1O)Br;C(Br)(Br)Br;-8.49
methylacetate;bromooctane;COC(C)=O;CCCCCCCCBr;-3.35
ethylacetate;bromooctane;CCOC(=O)C;CCCCCCCCBr;-3.97
propylacetate;bromooctane;CCCOC(C)=O;CCCCCCCCBr;-4.48
butylacetate;bromooctane;CCCCOC(C)=O;CCCCCCCCBr;-5.11
pentylacetate;bromooctane;CCCCCOC(C)=O;CCCCCCCCBr;-5.81
n-octane;butanol;CCCCCCCC;CCCCO;-4.45
benzene;butanol;C1=CC=CC=C1;CCCCO;-3.39
toluene;butanol;CC1=CC=CC=C1;CCCCO;-4.5
ethylbenzene;butanol;CCC1=CC=CC=C1;CCCCO;-4.46
methanol;butanol;CO;CCCCO;-4.73
ethanol;butanol;CCO;CCCCO;-5.02
"1;2-ethanediol";butanol;C(CO)O;CCCCO;-8.69
1-butanol;butanol;CCCCO;CCCCO;-6.03
formaldehyde;butanol;C=O;CCCCO;-3.49
2-butanone;butanol;CCC(=O)C;CCCCO;-4.12
aceticacid;butanol;CC(O)=O;CCCCO;-6.81
propanoicacid;butanol;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CCCCO;-7.17
butanoicacid;butanol;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CCCCO;-7.66
pentanoicacid;butanol;CCCCC(O)=O;CCCCO;-8.02
hexanoicacid;butanol;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;CCCCO;-8.75
ethylamine;butanol;CCN;CCCCO;-4.5
propylamine;butanol;CCCN;CCCCO;-5.04
diethylamine;butanol;CCNCC;CCCCO;-5.15
nitromethane;butanol;C[N+](=O)[O-];CCCCO;-3.93
hydrogenperoxide;butanol;OO;CCCCO;-7.94
uracil;butanol;C1=CNC(=O)NC1=O;CCCCO;-16.05
n-octane;butanone;CCCCCCCC;CCC(=O)C;-4.64
toluene;butanone;CC1=CC=CC=C1;CCC(=O)C;-5.06
ethanol;butanone;CCO;CCC(=O)C;-4.46
"1;4-dioxane";butanone;C1COCCO1;CCC(=O)C;-5.02
formaldehyde;butanone;C=O;CCC(=O)C;-1.77
2-butanone;butanone;CCC(=O)C;CCC(=O)C;-4.5
aceticacid;butanone;CC(O)=O;CCC(=O)C;-6.88
propanoicacid;butanone;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CCC(=O)C;-7.05
butanoicacid;butanone;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CCC(=O)C;-7.34
pentanoicacid;butanone;CCCCC(O)=O;CCC(=O)C;-7.54
hexanoicacid;butanone;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;CCC(=O)C;-8.07
nitromethane;butanone;C[N+](=O)[O-];CCC(=O)C;-5.24
g-butyrolactone;butanone;C1CC(=O)OC1;CCC(=O)C;-4.47
naphthalene;butylacetate;C1=CC=C2C=CC=CC2=C1;CCCCOC(C)=O;-7.59
methanol;butylacetate;CO;CCCCOC(C)=O;-3.04
ethanol;butylacetate;CCO;CCCCOC(C)=O;-3.97
"1;2-ethanediol";butylacetate;C(CO)O;CCCCOC(C)=O;-6.27
1-propanol;butylacetate;CCCO;CCCCOC(C)=O;-4.52
1-butanol;butylacetate;CCCCO;CCCCOC(C)=O;-5.23
1-pentanol;butylacetate;CCCCCO;CCCCOC(C)=O;-5.78
phenol;butylacetate;C1=CC=C(C=C1)O;CCCCOC(C)=O;-8.96
1-hexanol;butylacetate;CCCCCCO;CCCCOC(C)=O;-6.62
o-cresol;butylacetate;CC1=CC=CC=C1O;CCCCOC(C)=O;-8.9
m-cresol;butylacetate;CC1=CC(=CC=C1)O;CCCCOC(C)=O;-8.44
p-cresol;butylacetate;CC1=CC=C(C=C1)O;CCCCOC(C)=O;-9.28
1-heptanol;butylacetate;CCCCCCCO;CCCCOC(C)=O;-7.14
aceticacid;butylacetate;CC(O)=O;CCCCOC(C)=O;-6.11
butylacetate;butylacetate;CCCCOC(C)=O;CCCCOC(C)=O;-5.52
pyridine;butylacetate;C1=CC=NC=C1;CCCCOC(C)=O;-5.31
aniline;butylacetate;C1=CC=C(C=C1)N;CCCCOC(C)=O;-7.3
p-bromophenol;butylacetate;C1=CC(=CC=C1O)Br;CCCCOC(C)=O;-10.57
water;butylacetate;O;CCCCOC(C)=O;-4.13
1-octanol;butylacetate;CCCCCCCCO;CCCCOC(C)=O;-8.17
4-methylaniline;butylacetate;CC1=CC=C(C=C1)N;CCCCOC(C)=O;-7.81
hydrogenperoxide;butylacetate;OO;CCCCOC(C)=O;-6.76
phenol;butylbenzene;C1=CC=C(C=C1)O;CCCCC1=CC=CC=C1;-6.76
2-pentanone;butylbenzene;CCCC(=O)C;CCCCC1=CC=CC=C1;-4.74
2-hexanone;butylbenzene;CCCCC(=O)C;CCCCC1=CC=CC=C1;-5.31
"3;3-dimethylbutanone";butylbenzene;CC(=O)C(C)(C)C;CCCCC1=CC=CC=C1;-4.77
2-heptanone;butylbenzene;CCCCCC(=O)C;CCCCC1=CC=CC=C1;-5.93
methylpropanoate;butylbenzene;CCC(=O)OC;CCCCC1=CC=CC=C1;-4.19
methylpentanoate;butylbenzene;CCCCC(=O)OC;CCCCC1=CC=CC=C1;-5.37
