Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
diethylamine,butanol,CCNCC,CCCCO,-5.15
ethyloctadecanoate,hexadecane,CCCCCCCCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCCCCCC,-13.69
phenol,ethylacetate,C1=CC=C(C=C1)O,CCOC(=O)C,-8.7
dibromomethane,water,C(Br)Br,O,-2.11
2-butanone,aceticacid,CCC(=O)C,CC(O)=O,-4.8
n-pentadecane,pentadecane,CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,-9.91
N-ethylaniline,water,CCNC1=CC=CC=C1,O,-4.62
propylamine,octane,CCCN,CCCCCCCC,-3.0
aceticacid,butanol,CC(O)=O,CCCCO,-6.81
toluene,pentanol,CC1=CC=CC=C1,CCCCCO,-4.25
propylamine,diethylether,CCCN,CCOCC,-3.65
1;2-dichlorobenzene,hexadecane,C1=CC=C(C(=C1)Cl)Cl,CCCCCCCCCCCCCCCC,-6.16
o-cresol,hexane,CC1=CC=CC=C1O,CCCCCC,-6.25
acetophenone,heptane,CC(=O)C1=CC=CC=C1,CCCCCCC,-6.14
N;N-dimethyl-p-methoxybenzamide,water,CN(C)C(=O)C1=CC=C(C=C1)OC,O,-11.01
aceticacid,pentanol,CC(O)=O,CCCCCO,-6.65
butanal,octanol,CCCC=O,CCCCCCCCO,-4.62
methylpentanoate,octane,CCCCC(=O)OC,CCCCCCCC,-4.86
pentanoicacid,water,CCCCC(O)=O,O,-6.16
toluene,tetrahydrothiophenedioxide,CC1=CC=CC=C1,O=[S]1(=O)CCCC1,-4.23
2-hexanone,isooctane,CCCCC(=O)C,CC(C)CC(C)(C)C,-4.72
1-butanol,hexane,CCCCO,CCCCCC,-3.77
pentylacetate,dichloroethane,CCCCCOC(C)=O,CC(Cl)Cl,-6.64
p-xylene,heptane,CC1=CC=C(C=C1)C,CCCCCCC,-5.52
1-pentanol,tributylphosphate,CCCCCO,CCCCOP(=O)(OCCCC)OCCCC,-6.69
